+-----+------------+------+-------+
| id  | date       | hour | count |
| 231 | 2020-12-24 |    5 |     1 |
| 232 | 2020-12-24 |    6 |     1 |
| 233 | 2020-12-24 |    7 |     1 |
| 234 | 2020-12-24 |    8 |     7 |
| 235 | 2020-12-24 |    9 |     7 |
| 236 | 2020-12-24 |   10 |    26 |
| 237 | 2020-12-24 |   11 |    27 |
| 238 | 2020-12-24 |   12 |    22 |
| 239 | 2020-12-24 |   13 |    27 |
| 240 | 2020-12-24 |   14 |    16 |
| 241 | 2020-12-24 |   15 |    15 |
| 242 | 2020-12-24 |   16 |    17 |
| 243 | 2020-12-24 |   17 |    11 |
| 244 | 2020-12-24 |   18 |     9 |
| 245 | 2020-12-24 |   19 |    13 |
| 246 | 2020-12-24 |   20 |    27 |
| 247 | 2020-12-24 |   21 |    30 |
| 248 | 2020-12-24 |   22 |    33 |
| 249 | 2020-12-24 |   23 |    17 |
| 250 | 2020-12-25 |    0 |    10 |
| 251 | 2020-12-25 |    1 |     7 |
| 252 | 2020-12-25 |    2 |     2 |
| 253 | 2020-12-25 |    3 |     1 |
| 254 | 2020-12-25 |    4 |     1 |
| 255 | 2020-12-25 |    5 |     1 |
| 256 | 2020-12-25 |    6 |     1 |
| 257 | 2020-12-25 |    7 |     3 |
| 258 | 2020-12-25 |    8 |     5 |
| 259 | 2020-12-25 |    9 |    16 |
| 260 | 2020-12-25 |   10 |    19 |
| 261 | 2020-12-25 |   11 |    23 |
| 262 | 2020-12-25 |   12 |    22 |
| 263 | 2020-12-25 |   13 |    30 |
| 264 | 2020-12-25 |   14 |    31 |
| 265 | 2020-12-25 |   15 |    22 |
| 266 | 2020-12-25 |   16 |    21 |
| 267 | 2020-12-25 |   17 |    25 |
| 268 | 2020-12-25 |   18 |    23 |
| 269 | 2020-12-25 |   19 |    25 |
| 270 | 2020-12-25 |   20 |    29 |
| 271 | 2020-12-25 |   21 |    20 |
| 272 | 2020-12-25 |   22 |    28 |
| 273 | 2020-12-25 |   23 |    19 |
| 274 | 2020-12-26 |    0 |     6 |
| 275 | 2020-12-26 |    1 |     9 |
| 276 | 2020-12-26 |    2 |     3 |
| 277 | 2020-12-26 |    3 |     1 |
| 278 | 2020-12-26 |    4 |     1 |
| 278 | 2020-12-26 |    5 |     0 |
| 279 | 2020-12-26 |    6 |     1 |
| 280 | 2020-12-26 |    7 |     2 |
| 281 | 2020-12-26 |    8 |     6 |
| 282 | 2020-12-26 |    9 |     8 |
| 283 | 2020-12-26 |   10 |    16 |
| 284 | 2020-12-26 |   11 |    30 |
| 285 | 2020-12-26 |   12 |    27 |
| 286 | 2020-12-26 |   13 |    34 |
| 287 | 2020-12-26 |   14 |    32 |
| 288 | 2020-12-26 |   15 |    41 |
| 289 | 2020-12-26 |   16 |    24 |
| 290 | 2020-12-26 |   17 |    23 |
| 291 | 2020-12-26 |   18 |    33 |
| 292 | 2020-12-26 |   19 |    36 |
| 293 | 2020-12-26 |   20 |    38 |
| 294 | 2020-12-26 |   21 |    39 |
| 295 | 2020-12-26 |   22 |    23 |
| 296 | 2020-12-26 |   23 |    17 |
| 297 | 2020-12-27 |    0 |     6 |
| 298 | 2020-12-27 |    1 |     2 |
| 298 | 2020-12-27 |    2 |     0 |
| 299 | 2020-12-27 |    3 |     1 |
| 298 | 2020-12-27 |    4 |     0 |
| 300 | 2020-12-27 |    5 |     1 |
| 301 | 2020-12-27 |    6 |     1 |
| 302 | 2020-12-27 |    7 |     5 |
| 303 | 2020-12-27 |    8 |     4 |
| 304 | 2020-12-27 |    9 |     6 |
| 305 | 2020-12-27 |   10 |    19 |
| 306 | 2020-12-27 |   11 |    22 |
| 307 | 2020-12-27 |   12 |    34 |
| 308 | 2020-12-27 |   13 |    36 |
| 309 | 2020-12-27 |   14 |    34 |
| 310 | 2020-12-27 |   15 |    32 |
| 311 | 2020-12-27 |   16 |    25 |
| 312 | 2020-12-27 |   17 |    29 |
| 313 | 2020-12-27 |   18 |    17 |
| 314 | 2020-12-27 |   19 |    34 |
| 315 | 2020-12-27 |   20 |    58 |
| 316 | 2020-12-27 |   21 |    44 |
| 317 | 2020-12-27 |   22 |    27 |
| 318 | 2020-12-27 |   23 |    22 |
| 319 | 2020-12-28 |    0 |     8 |
| 320 | 2020-12-28 |    1 |     6 |
| 321 | 2020-12-28 |    2 |     2 |
| 322 | 2020-12-28 |    3 |     2 |
| 323 | 2020-12-28 |    4 |     6 |
| 323 | 2020-12-28 |    5 |     0 |
| 324 | 2020-12-28 |    6 |     2 |
| 325 | 2020-12-28 |    7 |     3 |
| 326 | 2020-12-28 |    8 |     6 |
| 327 | 2020-12-28 |    9 |    26 |
| 328 | 2020-12-28 |   10 |    24 |
| 329 | 2020-12-28 |   11 |    19 |
| 330 | 2020-12-28 |   12 |    30 |
| 331 | 2020-12-28 |   13 |    63 |
| 332 | 2020-12-28 |   14 |    44 |
| 333 | 2020-12-28 |   15 |    53 |
| 334 | 2020-12-28 |   16 |    54 |
| 335 | 2020-12-28 |   17 |    49 |
| 336 | 2020-12-28 |   18 |    54 |
| 337 | 2020-12-28 |   19 |    61 |
| 338 | 2020-12-28 |   20 |    72 |
| 339 | 2020-12-28 |   21 |    63 |
| 340 | 2020-12-28 |   22 |    49 |
| 341 | 2020-12-28 |   23 |    20 |
| 342 | 2020-12-29 |    0 |     9 |
| 343 | 2020-12-29 |    1 |     2 |
| 344 | 2020-12-29 |    2 |     5 |
| 345 | 2020-12-29 |    3 |     1 |
| 346 | 2020-12-29 |    4 |     1 |
| 347 | 2020-12-29 |    5 |     2 |
| 348 | 2020-12-29 |    6 |     1 |
| 349 | 2020-12-29 |    7 |     7 |
| 351 | 2020-12-29 |    8 |     5 |
| 352 | 2020-12-29 |    9 |    15 |
| 353 | 2020-12-29 |   10 |    25 |
| 354 | 2020-12-29 |   11 |    37 |
| 355 | 2020-12-29 |   12 |    47 |
| 356 | 2020-12-29 |   13 |    62 |
| 357 | 2020-12-29 |   14 |    60 |
| 358 | 2020-12-29 |   15 |    54 |
| 359 | 2020-12-29 |   16 |    58 |
| 360 | 2020-12-29 |   17 |    65 |
| 361 | 2020-12-29 |   18 |    59 |
| 362 | 2020-12-29 |   19 |    77 |
| 363 | 2020-12-29 |   20 |    83 |
| 364 | 2020-12-29 |   21 |    84 |
| 365 | 2020-12-29 |   22 |    40 |
| 366 | 2020-12-29 |   23 |    32 |
| 367 | 2020-12-30 |    0 |    18 |
| 368 | 2020-12-30 |    1 |     4 |
| 369 | 2020-12-30 |    2 |     9 |
| 370 | 2020-12-30 |    3 |     4 |
| 371 | 2020-12-30 |    4 |     3 |
| 372 | 2020-12-30 |    5 |     2 |
| 373 | 2020-12-30 |    6 |     4 |
| 374 | 2020-12-30 |    7 |     2 |
| 375 | 2020-12-30 |    8 |    10 |
| 376 | 2020-12-30 |    9 |    17 |
| 377 | 2020-12-30 |   10 |    40 |
| 378 | 2020-12-30 |   11 |    41 |
| 379 | 2020-12-30 |   12 |    53 |
| 380 | 2020-12-30 |   13 |    49 |
| 381 | 2020-12-30 |   14 |    68 |
| 382 | 2020-12-30 |   15 |    62 |
| 383 | 2020-12-30 |   16 |    57 |
| 384 | 2020-12-30 |   17 |    73 |
| 385 | 2020-12-30 |   18 |    73 |
| 386 | 2020-12-30 |   19 |   106 |
| 387 | 2020-12-30 |   20 |    81 |
| 388 | 2020-12-30 |   21 |    73 |
| 389 | 2020-12-30 |   22 |    52 |
| 390 | 2020-12-30 |   23 |    33 |
| 391 | 2020-12-31 |    0 |    15 |
| 392 | 2020-12-31 |    1 |    10 |
| 393 | 2020-12-31 |    2 |     1 |
| 393 | 2020-12-31 |    3 |     0 |
| 393 | 2020-12-31 |    4 |     0 |
| 394 | 2020-12-31 |    5 |     1 |
| 395 | 2020-12-31 |    6 |     3 |
| 396 | 2020-12-31 |    7 |     1 |
| 397 | 2020-12-31 |    8 |    10 |
| 398 | 2020-12-31 |    9 |    26 |
| 399 | 2020-12-31 |   10 |    40 |
| 400 | 2020-12-31 |   11 |    45 |
| 401 | 2020-12-31 |   12 |    61 |
| 402 | 2020-12-31 |   13 |    87 |
| 403 | 2020-12-31 |   14 |    72 |
| 404 | 2020-12-31 |   15 |    52 |
| 405 | 2020-12-31 |   16 |    50 |
| 406 | 2020-12-31 |   17 |    34 |
| 407 | 2020-12-31 |   18 |    41 |
| 408 | 2020-12-31 |   19 |    31 |
| 409 | 2020-12-31 |   20 |    50 |
| 410 | 2020-12-31 |   21 |    67 |
| 411 | 2020-12-31 |   22 |    66 |
| 412 | 2020-12-31 |   23 |    48 |
| 413 | 2021-01-01 |    0 |    30 |
| 414 | 2021-01-01 |    1 |    18 |
| 415 | 2021-01-01 |    2 |    14 |
| 416 | 2021-01-01 |    3 |     5 |
| 417 | 2021-01-01 |    4 |     1 |
| 417 | 2021-01-01 |    5 |     0 |
| 418 | 2021-01-01 |    6 |     1 |
| 419 | 2021-01-01 |    7 |     2 |
| 420 | 2021-01-01 |    8 |     6 |
| 421 | 2021-01-01 |    9 |    26 |
| 422 | 2021-01-01 |   10 |    28 |
| 423 | 2021-01-01 |   11 |    40 |
| 424 | 2021-01-01 |   12 |    70 |
| 425 | 2021-01-01 |   13 |    66 |
| 426 | 2021-01-01 |   14 |    77 |
| 427 | 2021-01-01 |   15 |    57 |
| 428 | 2021-01-01 |   16 |    51 |
| 429 | 2021-01-01 |   17 |    48 |
| 430 | 2021-01-01 |   18 |    77 |
| 431 | 2021-01-01 |   19 |    77 |
| 432 | 2021-01-01 |   20 |    98 |
| 433 | 2021-01-01 |   21 |   102 |
| 434 | 2021-01-01 |   22 |    65 |
| 435 | 2021-01-01 |   23 |    24 |
| 436 | 2021-01-02 |    0 |    14 |
| 437 | 2021-01-02 |    1 |    11 |
| 438 | 2021-01-02 |    2 |     6 |
| 439 | 2021-01-02 |    3 |     1 |
| 440 | 2021-01-02 |    4 |     4 |
| 441 | 2021-01-02 |    5 |     1 |
| 442 | 2021-01-02 |    6 |     2 |
| 443 | 2021-01-02 |    7 |     5 |
| 444 | 2021-01-02 |    8 |     6 |
| 445 | 2021-01-02 |    9 |    32 |
| 446 | 2021-01-02 |   10 |    53 |
| 447 | 2021-01-02 |   11 |    54 |
| 448 | 2021-01-02 |   12 |    75 |
| 449 | 2021-01-02 |   13 |    87 |
| 450 | 2021-01-02 |   14 |   100 |
| 451 | 2021-01-02 |   15 |    84 |
| 452 | 2021-01-02 |   16 |   103 |
| 453 | 2021-01-02 |   17 |   111 |
| 454 | 2021-01-02 |   18 |   117 |
| 455 | 2021-01-02 |   19 |   131 |
| 456 | 2021-01-02 |   20 |   148 |
| 457 | 2021-01-02 |   21 |   140 |
| 458 | 2021-01-02 |   22 |    95 |
| 459 | 2021-01-02 |   23 |    54 |
| 460 | 2021-01-03 |    0 |    23 |
| 461 | 2021-01-03 |    1 |    13 |
| 462 | 2021-01-03 |    2 |    14 |
| 463 | 2021-01-03 |    3 |     4 |
| 464 | 2021-01-03 |    4 |     2 |
| 464 | 2021-01-03 |    5 |     0 |
| 465 | 2021-01-03 |    6 |     1 |
| 466 | 2021-01-03 |    7 |     3 |
| 467 | 2021-01-03 |    8 |    15 |
| 468 | 2021-01-03 |    9 |    28 |
| 469 | 2021-01-03 |   10 |    52 |
| 470 | 2021-01-03 |   11 |    76 |
| 471 | 2021-01-03 |   12 |    59 |
| 472 | 2021-01-03 |   13 |    84 |
